unique_protein_id_A,symbol_id_A,species_A,unique_protein_id_B,symbol_id_B,species_B,cell_line,hour,study,interaction_type
Q05397,PTK2,homo sapien,P42224,STAT1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P42224,STAT1,homo sapien,Q05397,PTK2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P42224,STAT1,homo sapien,Q05397,PTK2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31948,STIP1,homo sapien,Q0VDF9,HSPA14,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q07955,SRSF1,homo sapien,Q01130,SRSF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q01130,SRSF2,homo sapien,Q07955,SRSF1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q07955,SRSF1,homo sapien,Q07955,SRSF1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P67809,YBX1,homo sapien,P35637,FUS,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P63000,RAC1,homo sapien,P63000,RAC1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P22626,HNRNPA2B1,homo sapien,P14866,HNRNPL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,P35637,FUS,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,P35637,FUS,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P35637,FUS,homo sapien,Q12906,ILF3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P04083,ANXA1,homo sapien,P31949,S100A11,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q93008,USP9X,homo sapien,P35222,CTNNB1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P35222,CTNNB1,homo sapien,Q93008,USP9X,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q93008,USP9X,homo sapien,P35222,CTNNB1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P51114,FXR1,homo sapien,P51116,FXR2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P50395,GDI2,homo sapien,P51151,RAB9A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O15145,ARPC3,homo sapien,P62701,RPS4X,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15637,SF1,homo sapien,Q01844,EWSR1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q01844,EWSR1,homo sapien,Q15637,SF1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P35637,FUS,homo sapien,Q15637,SF1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q92804,TAF15,homo sapien,Q15637,SF1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P60228,EIF3E,homo sapien,Q14152,EIF3A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P60228,EIF3E,homo sapien,Q14152,EIF3A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,P11940,PABPC1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61326,MAGOH,homo sapien,Q9UBU9,NXF1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61326,MAGOH,homo sapien,Q9UBU9,NXF1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9H9T3,ELP3,homo sapien,O95163,ELP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O95163,ELP1,homo sapien,Q9H9T3,ELP3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O95163,ELP1,homo sapien,Q9H9T3,ELP3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O15145,ARPC3,homo sapien,P59998,ARPC4,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P40763,STAT3,homo sapien,Q07666,KHDRBS1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q07666,KHDRBS1,homo sapien,P40763,STAT3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9Y2X7,GIT1,homo sapien,Q05397,PTK2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9Y2X7,GIT1,homo sapien,Q05397,PTK2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P55884,EIF3B,homo sapien,P60842,EIF4A1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P55884,EIF3B,homo sapien,P23588,EIF4B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P42224,STAT1,homo sapien,P42224,STAT1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P55884,EIF3B,homo sapien,Q14152,EIF3A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P56537,EIF6,homo sapien,P55884,EIF3B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P56537,EIF6,homo sapien,Q99613,EIF3C,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P55884,EIF3B,homo sapien,Q99613,EIF3C,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P55884,EIF3B,homo sapien,Q8N122,RPTOR,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q99613,EIF3C,homo sapien,Q8N122,RPTOR,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P42224,STAT1,homo sapien,P42224,STAT1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9NQ94,A1CF,homo sapien,O60506,SYNCRIP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9NQ94,A1CF,homo sapien,O60506,SYNCRIP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9NQ94,A1CF,homo sapien,O60506,SYNCRIP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P26599,PTBP1,homo sapien,P26599,PTBP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P26599,PTBP1,homo sapien,P14866,HNRNPL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q07666,KHDRBS1,homo sapien,Q07666,KHDRBS1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P63000,RAC1,homo sapien,Q9Y2A7,NCKAP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P63000,RAC1,homo sapien,Q9Y2A7,NCKAP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P78527,PRKDC,homo sapien,Q12906,ILF3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,P78527,PRKDC,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UBU9,NXF1,homo sapien,Q08211,DHX9,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q08211,DHX9,homo sapien,Q9UBU9,NXF1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P62995,TRA2B,homo sapien,Q13242,SRSF9,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14683,SMC1A,homo sapien,Q14980,NUMA1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13523,PRPF4B,homo sapien,Q9H307,PNN,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13523,PRPF4B,homo sapien,Q9H307,PNN,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O60763,USO1,homo sapien,Q8WVM8,SCFD1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O60763,USO1,homo sapien,Q8WVM8,SCFD1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9Y490,TLN1,homo sapien,Q05397,PTK2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9Y490,TLN1,homo sapien,Q05397,PTK2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P06396,GSN,homo sapien,P02751,FN1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P06396,GSN,homo sapien,Q05397,PTK2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,Q15424,SAFB,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P98160,HSPG2,homo sapien,P02751,FN1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q05397,PTK2,homo sapien,Q9Y490,TLN1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P78344,EIF4G2,homo sapien,Q14152,EIF3A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P78344,EIF4G2,homo sapien,P60842,EIF4A1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q08211,DHX9,homo sapien,Q07666,KHDRBS1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q08211,DHX9,homo sapien,Q07666,KHDRBS1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O15126,SCAMP1,homo sapien,O15126,SCAMP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P51149,RAB7A,homo sapien,P20340,RAB6A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P26599,PTBP1,homo sapien,P23246,SFPQ,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q05397,PTK2,homo sapien,P40763,STAT3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15637,SF1,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15637,SF1,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14964,HGS,homo sapien,Q13596,SNX1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q05397,PTK2,homo sapien,P62140,PPP1CB,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P19338,NCL,homo sapien,P06748,NPM1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P19338,NCL,homo sapien,P06748,NPM1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,P09429,HMGB1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q05397,PTK2,homo sapien,Q05397,PTK2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14247,CTTN,homo sapien,Q15746,MYLK,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14247,CTTN,homo sapien,P61160,ACTR2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14247,CTTN,homo sapien,P59998,ARPC4,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14247,CTTN,homo sapien,O15145,ARPC3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P63244,RACK1,homo sapien,P42224,STAT1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P63244,RACK1,homo sapien,P42224,STAT1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P14866,HNRNPL,homo sapien,P27695,APEX1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P63244,RACK1,homo sapien,P11940,PABPC1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q06609,RAD51,homo sapien,Q06609,RAD51,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31943,HNRNPH1,homo sapien,P52597,HNRNPF,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9Y3F4,STRAP,homo sapien,Q9Y3F4,STRAP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13263,TRIM28,homo sapien,Q13263,TRIM28,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P29401,TKT,homo sapien,P29401,TKT,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14787,TNPO2,homo sapien,P52948,NUP98,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52948,NUP98,homo sapien,O14787,TNPO2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P40763,STAT3,homo sapien,P42224,STAT1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q07666,KHDRBS1,homo sapien,P61978,HNRNPK,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q07666,KHDRBS1,homo sapien,P61978,HNRNPK,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,Q07666,KHDRBS1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P63000,RAC1,homo sapien,P40763,STAT3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P63000,RAC1,homo sapien,P40763,STAT3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,Q07666,KHDRBS1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q07666,KHDRBS1,homo sapien,P61978,HNRNPK,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,Q07666,KHDRBS1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P11940,PABPC1,homo sapien,P60842,EIF4A1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13596,SNX1,homo sapien,Q13596,SNX1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13596,SNX1,homo sapien,Q13596,SNX1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UBU9,NXF1,homo sapien,P52948,NUP98,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q92973,TNPO1,homo sapien,P52948,NUP98,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P35222,CTNNB1,homo sapien,P15311,EZR,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15637,SF1,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15637,SF1,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P08670,VIM,homo sapien,P08670,VIM,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P08670,VIM,homo sapien,P08670,VIM,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15149,PLEC,homo sapien,P08670,VIM,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P08670,VIM,homo sapien,Q15149,PLEC,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P51116,FXR2,homo sapien,P51114,FXR1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P51114,FXR1,homo sapien,P51116,FXR2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P51116,FXR2,homo sapien,P51114,FXR1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P51114,FXR1,homo sapien,P51114,FXR1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P51116,FXR2,homo sapien,P51116,FXR2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P11940,PABPC1,homo sapien,P15170,GSPT1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,P23588,EIF4B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,Q14152,EIF3A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,P23588,EIF4B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,Q14152,EIF3A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14152,EIF3A,homo sapien,P55884,EIF3B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14152,EIF3A,homo sapien,Q99613,EIF3C,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14152,EIF3A,homo sapien,O00303,EIF3F,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14152,EIF3A,homo sapien,O75821,EIF3G,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14152,EIF3A,homo sapien,O75821,EIF3G,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P55884,EIF3B,homo sapien,O75821,EIF3G,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q99613,EIF3C,homo sapien,O75821,EIF3G,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O75821,EIF3G,homo sapien,O75821,EIF3G,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14152,EIF3A,homo sapien,P55884,EIF3B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P11274,BCR,homo sapien,P63000,RAC1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q86U42,PABPN1,homo sapien,Q92973,TNPO1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14787,TNPO2,homo sapien,Q9UBU9,NXF1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14787,TNPO2,homo sapien,Q9UBU9,NXF1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14787,TNPO2,homo sapien,Q9UBU9,NXF1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14964,HGS,homo sapien,O14979,HNRNPDL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14103,HNRNPD,homo sapien,Q14103,HNRNPD,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q05397,PTK2,homo sapien,P09874,PARP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q99733,NAP1L4,homo sapien,Q99733,NAP1L4,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q00341,HDLBP,homo sapien,P78527,PRKDC,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q00341,HDLBP,homo sapien,Q08211,DHX9,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O75367,MACROH2A1,homo sapien,P35659,DEK,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O75367,MACROH2A1,homo sapien,P09874,PARP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P35222,CTNNB1,homo sapien,Q9Y4A5,TRRAP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14683,SMC1A,homo sapien,Q14683,SMC1A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O00303,EIF3F,homo sapien,P23588,EIF4B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q93009,USP7,homo sapien,P23588,EIF4B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O00303,EIF3F,homo sapien,P78344,EIF4G2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O00303,EIF3F,homo sapien,P60228,EIF3E,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q93009,USP7,homo sapien,P33991,MCM4,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q93009,USP7,homo sapien,P52948,NUP98,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UN86,G3BP2,homo sapien,P13489,RNH1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O00303,EIF3F,homo sapien,P48634,PRRC2A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O00303,EIF3F,homo sapien,Q14152,EIF3A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O00303,EIF3F,homo sapien,P55884,EIF3B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O00303,EIF3F,homo sapien,Q99613,EIF3C,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O00303,EIF3F,homo sapien,O75821,EIF3G,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O00303,EIF3F,homo sapien,Q8N3C0,ASCC3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13283,G3BP1,homo sapien,Q8N3C0,ASCC3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UN86,G3BP2,homo sapien,Q8N3C0,ASCC3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q93009,USP7,homo sapien,P49750,YLPM1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13283,G3BP1,homo sapien,Q9H6R4,NOL6,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13283,G3BP1,homo sapien,Q8NI36,WDR36,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UN86,G3BP2,homo sapien,Q8NI36,WDR36,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,Q92841,DDX17,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,P17844,DDX5,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,Q9NZI8,IGF2BP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,O00425,IGF2BP3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,P22626,HNRNPA2B1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,P31943,HNRNPH1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,P61978,HNRNPK,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,O43390,HNRNPR,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,Q12906,ILF3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,O60506,SYNCRIP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31943,HNRNPH1,homo sapien,Q92841,DDX17,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31943,HNRNPH1,homo sapien,P17844,DDX5,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31943,HNRNPH1,homo sapien,P09651,HNRNPA1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31943,HNRNPH1,homo sapien,P22626,HNRNPA2B1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31943,HNRNPH1,homo sapien,Q14103,HNRNPD,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31943,HNRNPH1,homo sapien,P61978,HNRNPK,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31943,HNRNPH1,homo sapien,O60506,SYNCRIP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,Q9Y6M1,IGF2BP2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,P52272,HNRNPM,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,P38159,RBMX,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,P07910,HNRNPC,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,P11940,PABPC1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,Q92945,KHSRP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,Q96KR1,ZFR,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,Q9Y5A9,YTHDF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31943,HNRNPH1,homo sapien,P55795,HNRNPH2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31943,HNRNPH1,homo sapien,Q00839,HNRNPU,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,Q14498,RBM39,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31943,HNRNPH1,homo sapien,Q9Y5A9,YTHDF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,Q99729,HNRNPAB,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,Q13310,PABPC4,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13242,SRSF9,homo sapien,O43390,HNRNPR,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31943,HNRNPH1,homo sapien,Q92945,KHSRP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,Q13148,TARDBP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31943,HNRNPH1,homo sapien,P52272,HNRNPM,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,Q8IWV7,UBR1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
