symbol_id_A,unique_protein_id_A,species_A,interactor_B,species_B,cell_line,hour,study,interaction_type
ITFG1,Q8TB96,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
TMX1,Q9H3N1,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
LMAN2L,Q9H0V9,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
TXNDC5,Q8NBS9,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
NETO2,Q8NC67,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
CANX,P27824,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MAGT1,Q9H0U3,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ANTXR1,Q9H6X2,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ATRN,O75882,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ST6GAL2,Q96JF0,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
PIGO,Q8TEQ8,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
GPAT3,Q8IYH5,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
TMEM209,Q96SK2,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
CNTNAP1,P78357,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ITPRIP,Q8IWB1,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
B4GALT4,O60513,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SERPINH1,P50454,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MBTPS1,Q14703,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
CTSF,Q9UBX1,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ADAM15,Q13444,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ADAM9,Q13443,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RAB11A,P62491,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
NRP2,O60462,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
GGH,Q92820,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ST3GAL5,Q9UNP4,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SGPL1,O95470,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
P4HA2,O15460,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
STBD1,O95210,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ACBD5,Q5T8D3,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
NXPE3,Q969Y0,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
OSMR,Q99650,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
VAPB,O95292,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
VAPA,Q9P0L0,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
CCPG1,Q9ULG6,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
GCNT3,O95395,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
DHRS3,O75911,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
COPB2,P35606,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ADGRG1,Q8IYH5,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
TXNL1,O43396,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
TM9SF2,Q99805,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ABCG2,Q9UNQ0,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
CHST10,O43529,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SCARB1,Q8WTV0,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
TECR,Q9NZ01,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SEC22B,O75396,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ENTPD6,O75354,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MINPP1,Q9UNW1,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
PDIA4,P13667,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
CELSR1,Q9NYQ6,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MICAL2,O94851,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
EDEM1,Q92611,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MRC2,Q9UBG0,Homo sapiens,ORF8,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
GNPDA1,P46926,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
TSFM,P43897,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
FEM1B,Q9UK73,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
LRPPRC,P42704,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
TRAP1,Q12931,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SLC25A13,Q9UJS0,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ECI2,O75521,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
TIMM44,O43615,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ATP5PD,Q8IYH5,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
VAT1,Q99536,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
PITRM1,Q5JRX3,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
YME1L1,Q96TA2,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
CLPX,O76031,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MRPS30,Q9NP92,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
PRDX3,P30048,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
AFG3L2,Q9Y4W6,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ACOT2,P49753,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
TDRKH,Q9Y2W6,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
DSTN,P60981,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
POLR3A,O14802,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MRPL3,P09001,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MTFR2,Q6P444,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
PHB2,Q99623,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
LACTB,P83111,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
PTPMT1,Q8WUK0,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ALPK2,Q86TB3,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
EARS2,Q5JPH6,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
KLHDC7A,Q5VTJ3,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
COX5B,P10606,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
NADK2,Q4G0N4,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
CPS1,P31327,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
CRAT,P43155,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
CS,O75390,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
RMDN2,Q96LZ7,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
CYB5A,P00167,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
CYP24A1,Q07973,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ALDH1L2,Q3SY69,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
DBT,P11182,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
DDB1,Q16531,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
DECR1,Q16698,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
AARS1,Q8IYH5,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
DLAT,P10515,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
DLD,P09622,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
DLST,P36957,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
DNM1,Q05193,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ECH1,Q13011,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ECHS1,P30084,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
EIF2S1,P05198,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
EIF2S3,P41091,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
PLD6,Q8N2A8,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MARK2,Q7KZI7,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
PDE12,Q6L8Q7,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ENO1,P06733,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
AK4,P27144,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ETFA,P13804,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ALAS1,P13196,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ALDH2,P05091,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ALDH1B1,P30837,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ALDH3B1,P43353,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
FDXR,P22570,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ALDH3A2,P51648,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ALDOA,P04075,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
FH,P07954,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
FASTKD2,Q9NYY8,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
DHX30,Q7L2E3,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ABCB7,O75027,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
USP33,Q8TEY7,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
VWA8,A3KMH1,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
VPS13A,Q96RL7,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MTCL1,Q9Y4B5,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ANGEL1,Q9UNK9,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MED13L,Q71F56,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
HARS2,P49590,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ISCU,Q9H1K1,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ACOT9,Q9Y305,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
FKBP8,Q14318,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
BCL2L13,Q9BXK5,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
WDR72,Q3MJ13,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SAMM50,Q9Y512,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MTHFD1L,Q6UB35,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
POLDIP2,Q9Y2S7,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
HERC4,Q5GLZ8,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
NAT9,Q9BTE0,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
FBXL4,Q9UKA2,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
HIBCH,Q6NVY1,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ERAL1,O75616,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SND1,Q7KZF4,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
PPA2,Q9H2U2,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
GLS,O94925,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
GLUD1,P00367,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
GNAS,O95467|P63092|P84996|Q5JWF2,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
GOT2,P00505,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
GPD2,P43304,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
SPRYD4,Q8WW59,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
FAM171A2,A8MVW0,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MRPS28,Q9Y2Q9,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ACAD9,Q9H845,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
NDUFAF4,Q9P032,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
GRSF1,Q12849,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
GSR,P00390,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
HSD17B10,Q99714,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
HADHA,P40939,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
HK1,P19367,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
DNAJA1,P31689,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
HSPA9,P38646,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
HSPD1,P10809,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MRPL58,Q8IYH5,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
IDH2,P48735,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
IDH3B,O43837,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MTX3,Q5HYI7,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
IMPDH2,P12268,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
IREB2,P48200,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
GSTK1,Q9Y2Q3,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
KARS1,Q8IYH5,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
NHLRC2,Q8NBF2,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MIGA1,Q8IYH5,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ACADVL,P49748,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
LETM1,O95202,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
TOMM5,Q8N4H5,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MAN2C1,Q9NTJ4,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MARK3,P27448,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MCL1,Q07820,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MCM7,P33993,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MDH2,P40926,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ME1,P48163,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
ME2,P23368,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MTHFD1,P11586,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MTIF2,P46199,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MTR,Q99707,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
MMUT,Q8IYH5,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
NDUFA6,P56556,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
NDUFA9,Q16795,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
NDUFA10,O95299,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
NDUFB9,Q9Y6M9,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
NDUFS1,P28331,Homo sapiens,ORF9b,Severe acute respiratory syndrome coronavirus 2,-,-,Samavarchi-Tehrani P (2020),Protein Protein
